SKU из Billing API (Sku.List), страницы объединены: id	serviceId	pricingUnit	price	name	description
Всего SKU: 1574
  dn201l4ki383a9per2i7	dn2jfbheag6vvls7oplt	server_month	575.8 RUB	BareMetal. Server type HA-i302-S-10G with 6 month rental period	
  dn2042sd5c0scrf8kaho	dn2yds6scistjlmes0fe	hour	0.4392 RUB	Yandex Data Streams. Provided shard throughput limit up to 512 KB/s, storage time 12 hours	
  dn2064t09vdjeuu973hm	dn2li5qddoc5cad2n6br	10k_request	0.0 RUB	Object Storage. Standard storage, OPTIONS operations	
  dn20763c9kev5qjd05mc	dn2dtfaj8fno5r3beac3	gbyte_hour	0.3843 RUB	Data Transfer. Memory capacity (RAM)	
  dn2078jofd76jr4q9e4p	dn2jfbheag6vvls7oplt	server_month	539.85 RUB	BareMetal. Server type BA-i207-H with 1 day rental period	
  dn207abjd7fmjoni7qsr	dn2b0fi02sdmf46ijdl5	gbyte_hour	0.0029 RUB	Yandex StoreDoc. Backups beyond storage size	
  dn209gne5ncks8amg0sr	dn2jfbheag6vvls7oplt	server_month	330.36 RUB	Baremetal. Server type BA-i106-SH-10G with 1 month rental period	
  dn209namvcald8iiajna	dn2mse6mu1meu7orkmre	core_hour	3.2292 RUB	Managed Service for Apache Kafka®. Computing resources of Apache Kafka® Raft hosts, AMD Zen 4 HighFreq, 100% vCPU	
  dn209sdala2u5njilp9o	dn2l7rvq9j43kk6ips5i	gbyte_hour	0.3514 RUB	MPP Analytics for PostgreSQL. Computing resources of dedicated hosts, Intel Ice Lake (Compute Optimized), RAM	
  dn20g7k8a4g6nn3jekfg	dn28hpu6268356q0j8mk	core_hour	0.1318 RUB	Yandex Data Processing. Host computing resources, Intel Cascade Lake, 100% vCPU	
  dn20gt5d3m7c631vp3qv	dn2b0fi02sdmf46ijdl5	core_hour	2.3497 RUB	Yandex StoreDoc. Intel Ice Lake. Software accelerated network	
  dn20jmc68impgeulm0sq	dn2hb3vlkb6qfih0pgv6	gbyte_hour	0.4392 RUB	Managed Service for Valkey™. Host computing resources, AMD Zen 4, RAM	
  dn20jng1b3a6ggtn52bo	dn22pas77ftg9h3f2djj	core_hour	0.2416 RUB	Preemptible VM computing resources, Intel Cascade Lake, 50% vCPU	
  dn20k65s2shov1gv1bg6	dn25bk2bcun5eb7kkdq0	gbyte_hour	0.0061 RUB	Cloud Desktop. Standard disk drive (HDD)	
  dn20ml8ifdps6m7048an	dn28okfvqh19eiue6l2m	gpu_hour	0.7027 RUB	Regular VM computing resources, Intel Ice Lake with Nvidia T4, 1 GPU Nvidia T4	
  dn20mllfiaqcj26n61lu	dn2jfbheag6vvls7oplt	server_month	300.93 RUB	BareMetal. Server type BA-i105-SH with 1 day rental period	
  dn20mtnp2jnjj4km7u5g	dn2mse6mu1meu7orkmre	core_hour	1.8446 RUB	Managed Service for Apache Kafka®. Apache Kafka® broker host computing resources, Intel Cascade Lake, 100% vCPU	
  dn20nfs6nvqmsnvjdd5r	dn2220hr46dtogekm57v	core_hour	1.1525 RUB	Managed Service for ClickHouse®. Computing resources of ClickHouse® hosts, Intel Broadwell, 20% vCPU	
  dn20nij66fqol8q009o4	dn2hb3vlkb6qfih0pgv6	core_hour	1.4388 RUB	Managed Service for Valkey™. Host computing resources, Intel Cascade Lake, 100% vCPU, CVoS for 1 year	
  dn20phj76ak2oh3m4sgn	dn2hmdmghr9j2odlvssi	core_hour	1.0892 RUB	Managed Service for PostgreSQL. Host computing resources, Intel Ice Lake, 50% vCPU	
  dn20pjhfri33ds0keiuj	dn2jfbheag6vvls7oplt	server_month	865.13 RUB	BareMetal. Server type BA-i208-S-10G with 6 month rental period	
  dn20q66guu76is04nktv	dn2jfbheag6vvls7oplt	server_month	193.57 RUB	BareMetal. Server type BA-i103-S-10G with 1 year rental period	
  dn20rqkq339lm12jdf1i	dn2jfbheag6vvls7oplt	server_month	902.34 RUB	BareMetal. Server type BA-i208-S-10G with 1 month rental period	
  dn20vplumf3dl0je987u	dn2jfbheag6vvls7oplt	server_month	179.64 RUB	BareMetal. Server type BA-i200-H with 3 month rental period	
  dn211dses9ju3abvq0bs	dn28okfvqh19eiue6l2m	gpu_hour	1.6325 RUB	Preemptible VM computing resources, AMD EPYC™, 1 GPU Nvidia A100	
  dn211freucp140p5fo9j	dn2scoh2b9945dep39ih	unit_second	0.0013 RUB	DataSphere - storage dataset	
  dn211hvm5bgm4dl0gblv	dn2hjd8fhbb14l7vkp2c	core_hour	1.8446 RUB	Managed Service for OpenSearch. Host computing resources, Intel Cascade Lake, 100% vCPU	
  dn211p7p68uprhb1mphu	dn28hpu6268356q0j8mk	gbyte_hour	0.0329 RUB	Yandex Data Processing. Host computing resources, Intel Ice Lake, RAM	
  dn213jnlahejt3vmo8k6	dn2qu7ck7veplf4kmbuh	core_hour	1.1309 RUB	Serverless Containers. CPU usage time during downtime of provisioned instance	
  dn213ucd95oojvm9dogd	dn2jfbheag6vvls7oplt	server_month	206.1 RUB	Baremetal. Server type BA-i104-SH with 1 month rental period	
  dn214i62l70at9bdhfln	dn22pas77ftg9h3f2djj	core_hour	0.4656 RUB	Regular VM computing resources, AMD Zen 4 (Compute Optimized), 20% vCPU	
  dn216ev8t9vrrk1dt2iv	dn2jfbheag6vvls7oplt	server_month	287.43 RUB	BareMetal. Server type BA-i205-SH with 6 month rental period	
  dn217fio8e4jq2bb93va	dn2hjd8fhbb14l7vkp2c	gbyte_hour	0.0049 RUB	Managed Service for OpenSearch. Storage on network HDD disks	
  dn217kngosua0ige7glr	dn2hmdmghr9j2odlvssi	core_hour	1.0892 RUB	Managed Service for PostgreSQL. Host computing resources, Intel Cascade Lake, 5% vCPU	
  dn217onol2jlktf564s8	dn21qssbrdtcaus362kp	nat_gateway_hour	0.3953 RUB	VPC. NAT gateway	
  dn218a07u143r9v1r5ms	dn22pas77ftg9h3f2djj	core_hour	1.3066 RUB	Regular VM computing resources, Intel Cascade Lake, 100% vCPU	
  dn21adn8pgvr7hr9jhh3	dn2hb3vlkb6qfih0pgv6	fip_hour	0.2635 RUB	Managed Service for Valkey™. Public IP address	
  dn21akc87tfq9828apmn	dn2li5qddoc5cad2n6br	10k_request	1.0651 RUB	Object Storage. Cold storage, HEAD operations	
  dn21dgdltqrgdsodkm4i	dn2l7rvq9j43kk6ips5i	core_hour	3.7771 RUB	MPP Analytics for PostgreSQL. Computing resources of standard hosts, Intel Ice Lake (Compute Optimized), 100% vCPU	
  dn21eicgre1bd9tn9iah	dn2kmsd7hrdeb1u7c4nb	key_version_hour	0.0044 RUB	Key Management Service. Use of one symmetric key version	
  dn21fsqmbhvseaof5pf6	dn2jfbheag6vvls7oplt	server_month	863.3 RUB	BareMetal. Server type BA-i211-8S-10G with 1 year rental period	
  dn21fungciv85m934b6i	dn2hb3vlkb6qfih0pgv6	gbyte_hour	0.3854 RUB	Managed Service for Valkey™. Host computing resources, Intel Cascade Lake, RAM, CVoS for 1 year	
  dn21jcm82510bfa6is22	dn28okfvqh19eiue6l2m	gbyte_hour	0.3074 RUB	Regular VM computing resources, AMD EPYC™, RAM	
  dn21mu9ogclp6ebdicst	dn2f26fqvaoddbr0ld1a	1k_request	0.0 RUB	Requests to SmartCaptcha API	
  dn21nqsljggfa9a0k2ea	dn2scoh2b9945dep39ih	unit_second	0.0013 RUB	DataSphere - storage disk extension	
  dn21nvoa0qdchnt0g4rt	dn2l7rvq9j43kk6ips5i	gbyte_hour	0.3074 RUB	MPP Analytics for PostgreSQL. Computing resources of dedicated hosts, AMD Zen 4, RAM	
  dn21rae6hphnp3bbahpr	dn2oxk4367kv6etfvj5x	1m_points	7.686 RUB	Monium. Reading any metric values via API	
  dn21s3iotfh9c0amhuf5	dn2kmsd7hrdeb1u7c4nb	10k_request	0.0 RUB	Key Management Service. Key operations on HSM - Cryptographic	
  dn21us61h8d7k2psep4v	dn28hpu626uudbq0j8mk	core_hour	1.7453 RUB	Managed Service for MySQL®. Computing resources of standard hosts, Intel Cascade Lake, 100% vCPU, CVoS for 6 months	
  dn21ut0ki4ht6vt6koaj	dn28hpu626uudbq0j8mk	gbyte_hour	0.4368 RUB	Managed Service for MySQL®. Computing resources of standard hosts, Intel Cascade Lake, RAM, CVoS for 1 year	
  dn21v8itet8kbi4vjvsb	dn2mse6mu1meu7orkmre	gbyte_hour	0.3426 RUB	Managed Service for Apache Kafka®. Apache Kafka® broker host computing resources, Intel Ice Lake, RAM, CVoS for 1 year	
  dn22047fusktsfhmh8mb	dn2iqlgecrio4statr88	month	2177.6 RUB	Interconnect. Direct trunk connection, 3 090 TB	
  dn2219br2f0t8ru04u0f	dn20fgh8pg8d27h1cp7f	request	0.1627 RUB	Brand Voice Self Service. Speech synthesis	
  dn22225727nosasxpx7x	dn2jfbheag6vvls7oplt	server_month	183.7 RUB	BareMetal. Server type BF261-i209 with 1 year rental period	
  dn222cz4rrr2irahaybl	dn2jfbheag6vvls7oplt	server_month	173.97 RUB	BareMetal. Server type LA-i102-S with 6 month rental period	
  dn222iruiuodtyh2dfoy	dn2o984h40l32p7t5nsv	1k_token	0.13 RUB	Text generation, DeepSeek v3.2 model, tool tokens, synchronous mode	
